id,year,state_name,county_name,state_ansi,county_ansi,county_fips,crop,crop_class,measurement_type,measurement_units,value
2134195,2015,NEBRASKA,CHASE,31,029,31029,WHEAT,WINTER,YIELD,BU / ACRE,75
1690615,1997,INDIANA,WELLS,18,179,18179,SOYBEANS,ALL CLASSES,AREA HARVESTED,ACRES,89400
2074707,2013,ILLINOIS,EDWARDS,17,047,17047,WHEAT,WINTER,YIELD,BU / ACRE,70
2374293,2010,KANSAS,GREELEY,20,071,20071,CORN,ALL CLASSES,AREA HARVESTED,ACRES,36000
2431698,2000,KANSAS,LABETTE,20,099,20099,CORN,ALL CLASSES,PRODUCTION,BU,805000
1894884,1990,WYOMING,FREMONT,56,013,56013,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,ACRES,300
2446514,2014,NEBRASKA,OTOE,31,131,31131,CORN,ALL CLASSES,PRODUCTION,BU,21074000
2096469,2007,OHIO,KNOX,39,083,39083,WHEAT,WINTER,YIELD,BU / ACRE,60.1
2081165,1991,KENTUCKY,SIMPSON,21,213,21213,WHEAT,WINTER,YIELD,BU / ACRE,39
2512541,2014,ILLINOIS,CHRISTIAN,17,021,17021,CORN,ALL CLASSES,YIELD,BU / ACRE,217.8
2421095,1991,ILLINOIS,GRUNDY,17,063,17063,CORN,ALL CLASSES,PRODUCTION,BU,7798800
1985518,1994,IOWA,VAN BUREN,19,177,19177,WHEAT,WINTER,AREA PLANTED,ACRES,3100
1761948,1994,OHIO,CHAMPAIGN,39,021,39021,SOYBEANS,ALL CLASSES,AREA PLANTED,ACRES,69500
2326343,1996,KANSAS,GRAHAM,20,065,20065,SOYBEANS,ALL CLASSES,YIELD,BU / ACRE,35
2557391,2008,VIRGINIA,MECKLENBURG,51,117,51117,CORN,ALL CLASSES,YIELD,BU / ACRE,51
1781547,1990,INDIANA,ST. JOSEPH,18,141,18141,SOYBEANS,ALL CLASSES,PRODUCTION,BU,1670900
2060578,1999,TEXAS,SHACKELFORD,48,417,48417,WHEAT,WINTER,PRODUCTION,BU,308000
1861064,1991,NORTH DAKOTA,MCKENZIE,38,053,38053,WHEAT,"SPRING, DURUM",YIELD,BU / ACRE,30.9
2202361,1990,IDAHO,IDAHO,16,049,16049,WHEAT,WINTER,AREA HARVESTED,ACRES,13500
2360691,2014,ARKANSAS,GREENE,05,055,05055,CORN,ALL CLASSES,AREA HARVESTED,ACRES,15900
2447468,1994,NEW YORK,NIAGARA,36,063,36063,CORN,ALL CLASSES,PRODUCTION,BU,3022200
2196933,1993,SOUTH DAKOTA,OGLALA LAKOTA,46,102,46102,WHEAT,WINTER,PRODUCTION,BU,926700
1938640,1992,INDIANA,WARRICK,18,173,18173,WHEAT,WINTER,AREA HARVESTED,ACRES,5200
2456242,2003,PENNSYLVANIA,INDIANA,42,063,42063,CORN,ALL CLASSES,PRODUCTION,BU,1466700
2287947,2005,MISSISSIPPI,WEBSTER,28,155,28155,COTTON,UPLAND,YIELD,LB / ACRE,817
2520753,2013,KANSAS,RUSH,20,165,20165,CORN,ALL CLASSES,YIELD,BU / ACRE,111.8
2336758,2012,MISSISSIPPI,ITAWAMBA,28,057,28057,SOYBEANS,ALL CLASSES,YIELD,BU / ACRE,42.3
2551698,1991,TENNESSEE,MAURY,47,119,47119,CORN,ALL CLASSES,YIELD,BU / ACRE,92
1942216,1996,KANSAS,CHEROKEE,20,021,20021,WHEAT,WINTER,AREA HARVESTED,ACRES,92900
2068145,2004,CALIFORNIA,CONTRA COSTA,06,013,06013,WHEAT,WINTER,YIELD,BU / ACRE,47.5
1939734,2002,KANSAS,SHERMAN,20,181,20181,WHEAT,WINTER,AREA HARVESTED,ACRES,138900
2048921,1995,NORTH DAKOTA,ADAMS,38,001,38001,WHEAT,WINTER,PRODUCTION,BU,12000
1771083,2006,VIRGINIA,CHESTERFIELD,51,041,51041,SOYBEANS,ALL CLASSES,AREA PLANTED,ACRES,1800
1660641,2003,TEXAS,NOLAN,48,353,48353,COTTON,UPLAND,AREA PLANTED,ACRES,2400
2319505,2003,ILLINOIS,MORGAN,17,137,17137,SOYBEANS,ALL CLASSES,YIELD,BU / ACRE,48
1655988,1993,ARKANSAS,LAFAYETTE,05,073,05073,COTTON,UPLAND,AREA HARVESTED,ACRES,4800
2494795,1992,KANSAS,COWLEY,20,035,20035,CORN,ALL CLASSES,PRODUCTION,BU,140000
1975315,1996,ARKANSAS,YELL,05,149,05149,WHEAT,WINTER,AREA PLANTED,ACRES,6000
2201750,1990,TEXAS,STONEWALL,48,433,48433,WHEAT,WINTER,YIELD,BU / ACRE,27.3
2371458,1991,IOWA,SIOUX,19,167,19167,CORN,ALL CLASSES,AREA HARVESTED,ACRES,232800
2525569,2005,MARYLAND,CARROLL,24,013,24013,CORN,ALL CLASSES,YIELD,BU / ACRE,130.8
2340398,2018,NEBRASKA,BOONE,31,011,31011,SOYBEANS,ALL CLASSES,YIELD,BU / ACRE,64
2002926,1990,NORTH DAKOTA,ADAMS,38,001,38001,WHEAT,WINTER,AREA PLANTED,ACRES,20000
1933410,2006,GEORGIA,TIFT,13,277,13277,WHEAT,WINTER,AREA HARVESTED,ACRES,300
1908680,1994,MONTANA,MADISON,30,057,30057,WHEAT,"SPRING, (EXCL DURUM)",PRODUCTION,BU,101000
2322665,2013,INDIANA,GIBSON,18,051,18051,SOYBEANS,ALL CLASSES,YIELD,BU / ACRE,48.3
1867580,2015,MINNESOTA,SWIFT,27,151,27151,WHEAT,"SPRING, (EXCL DURUM)",AREA HARVESTED,ACRES,9110
1777804,1994,GEORGIA,LANIER,13,173,13173,SOYBEANS,ALL CLASSES,PRODUCTION,BU,66000
2350873,2003,PENNSYLVANIA,BERKS,42,011,42011,SOYBEANS,ALL CLASSES,YIELD,BU / ACRE,44
1778861,1999,ILLINOIS,FULTON,17,057,17057,SOYBEANS,ALL CLASSES,PRODUCTION,BU,5913000
2223845,1990,OKLAHOMA,COTTON,40,033,40033,WHEAT,WINTER,YIELD,BU / ACRE,31.8
1655056,2001,TEXAS,TRAVIS,48,453,48453,COTTON,UPLAND,PRODUCTION,480 LB BALES,1900
2358530,1990,WISCONSIN,WOOD,55,141,55141,SOYBEANS,ALL CLASSES,YIELD,BU / ACRE,41
1928235,1995,OREGON,GILLIAM,41,021,41021,WHEAT,"SPRING, (EXCL DURUM)",YIELD,BU / ACRE,35
2063513,2010,VIRGINIA,CHARLES CITY,51,036,51036,WHEAT,WINTER,PRODUCTION,BU,230000
2520069,2012,KANSAS,HASKELL,20,081,20081,CORN,ALL CLASSES,YIELD,BU / ACRE,189.5
1820648,1998,KANSAS,GRANT,20,067,20067,SOYBEANS,ALL CLASSES,AREA HARVESTED,ACRES,800
1848954,1992,KANSAS,MIAMI,20,121,20121,SOYBEANS,ALL CLASSES,YIELD,BU / ACRE,38
2200235,1991,NEBRASKA,COLFAX,31,037,31037,WHEAT,WINTER,YIELD,BU / ACRE,33
2307944,1991,NORTH DAKOTA,NELSON,38,063,38063,WHEAT,"SPRING, (EXCL DURUM)",YIELD,BU / ACRE,35
1616190,2010,NEBRASKA,OTOE,31,131,31131,CORN,ALL CLASSES,AREA PLANTED,ACRES,120000
2580881,2004,NEBRASKA,KEITH,31,101,31101,CORN,ALL CLASSES,AREA HARVESTED,ACRES,1200
2036000,2000,KENTUCKY,NICHOLAS,21,181,21181,WHEAT,WINTER,PRODUCTION,BU,27500
2588737,1997,NEBRASKA,THAYER,31,169,31169,CORN,ALL CLASSES,AREA PLANTED,ACRES,96000
1632397,2012,ALABAMA,DALE,01,045,01045,COTTON,UPLAND,AREA PLANTED,ACRES,13700
2155489,1990,OKLAHOMA,ROGER MILLS,40,129,40129,WHEAT,WINTER,AREA PLANTED,ACRES,74400
2407087,2009,TENNESSEE,MONROE,47,123,47123,CORN,ALL CLASSES,AREA HARVESTED,ACRES,800
2130651,1998,UTAH,IRON,49,021,49021,WHEAT,WINTER,PRODUCTION,BU,5000
1715738,2003,OHIO,ASHLAND,39,005,39005,SOYBEANS,ALL CLASSES,AREA HARVESTED,ACRES,31000
